Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,21.457705,21.608761,21.359516,21.586103,8.221731,38576858
2010-01-05,21.676737,21.699396,21.412388,21.480364,8.181459,46650478
2010-01-06,21.110271,21.170694,20.808157,20.853474,8.101086,50172450
2010-01-07,20.830816,20.913897,20.483383,20.619335,8.010128,44486797
2010-01-08,20.611782,20.687311,20.302114,20.468279,7.951448,36586622
2010-01-11,20.528702,20.558912,20.279455,20.370090,7.913305,34147549
2010-01-12,20.279455,20.475830,20.226585,20.362537,7.910369,34831527
2010-01-13,20.392750,20.468279,20.037764,20.120846,7.816477,56390352
2010-01-14,20.120846,20.279455,19.697886,19.780968,7.684442,55933836
2010-01-15,19.826284,19.841391,19.373112,19.478851,7.567075,84760229
2010-01-19,19.577040,19.826284,19.486404,19.788521,7.687380,44965291
2010-01-20,19.660122,19.660122,19.410875,19.509064,7.578818,51751188
2010-01-21,19.577040,19.622356,19.184290,19.388218,7.531870,53059168
2010-01-22,19.274923,19.509064,19.154079,19.176737,7.449712,50814723
2010-01-25,19.433535,19.561934,19.123867,19.320242,7.505462,39589586
2010-01-26,19.184290,19.267372,18.927492,19.131420,7.432110,45239226
2010-01-27,19.040785,19.728098,18.957705,19.350452,7.517199,78105143
2010-01-28,19.410875,19.750755,19.101208,19.290030,7.493722,68925984
2010-01-29,19.342899,19.448641,19.146526,19.154079,7.440910,51531404
2010-02-01,19.388218,19.418428,19.093657,19.169184,7.446778,48689306
2010-02-02,19.161631,19.516617,19.086103,19.403322,7.537735,41202615
2010-02-03,19.358006,19.493958,19.184290,19.320242,7.505462,30391228
2010-02-04,19.206949,19.252266,18.904835,18.904835,7.344087,42811010
2010-02-05,18.972811,19.116314,18.851965,19.063444,7.405703,67369357
2010-02-08,19.025681,19.086103,18.851965,18.867069,7.329414,35977184
2010-02-09,19.018127,19.199396,18.919941,19.078550,7.411573,46259501
2010-02-10,19.055891,19.070997,18.889729,18.972811,7.370494,35283938
2010-02-11,18.919941,19.169184,18.753777,19.025681,7.391031,36339828
2010-02-12,18.904835,18.995468,18.776436,18.935045,7.355822,45165744
2010-02-16,19.108761,19.252266,18.980364,19.123867,7.429174,34296499
2010-02-17,19.191843,19.274923,19.033234,19.184290,7.452647,25826341
2010-02-18,19.184290,19.282476,19.003021,19.063444,7.405703,35785734
2010-02-19,19.033234,19.184290,18.897282,18.957705,7.364623,45942270
2010-02-22,18.980364,19.003021,18.859516,18.897282,7.341154,41185403
2010-02-23,18.882175,18.904835,18.753777,18.753777,7.285404,37754919
2010-02-24,18.791540,18.844412,18.731117,18.814199,7.308877,38357339
2010-02-25,18.700907,18.776436,18.587612,18.708460,7.267799,39168157
2010-02-26,18.776436,18.814199,18.663141,18.738670,7.279535,38639484
2010-03-01,18.814199,18.935045,18.753777,18.882175,7.335284,32975544
2010-03-02,18.882175,18.927492,18.663141,18.791540,7.300075,44224248
2010-03-03,18.904835,18.904835,18.738670,18.799093,7.303010,27400312
2010-03-04,18.806646,18.882175,18.731117,18.851965,7.323548,38040109
2010-03-05,18.904835,18.919941,18.746223,18.874622,7.332349,37017848
2010-03-08,18.919941,19.154079,18.806646,19.093657,7.417439,32679895
2010-03-09,19.138973,19.433535,19.108761,19.305136,7.499595,57545277
2010-03-10,19.342899,19.425982,19.161631,19.274923,7.487857,31161267
2010-03-11,19.199396,19.335346,19.108761,19.335346,7.511327,28811034
2010-03-12,19.403322,19.433535,19.191843,19.350452,7.517199,23591164
2010-03-15,19.395769,19.486404,19.305136,19.471298,7.564147,26904077
2010-03-16,19.531721,19.629910,19.418428,19.524170,7.584683,23329410
2010-03-17,19.599697,19.629910,19.524170,19.561934,7.599356,23969961
2010-03-18,19.607250,19.705439,19.561934,19.682779,7.646299,22520710
2010-03-19,19.818731,19.871601,19.629910,19.818731,7.699113,47487511
2010-03-22,19.780968,20.045317,19.697886,19.939577,7.746059,32488842
2010-03-23,20.000000,20.067976,19.886707,20.052870,7.790071,24012461
2010-03-24,19.954683,20.015106,19.728098,19.833838,7.704979,27038728
