,countries,emission_2018,percentage
12,Australia,386.62,4.310188173571419
28,Brazil,427.71,4.768275266975923
36,Canada,574.4,6.403631697530968
60,Egypt,246.26,2.745401012942159
72,France Monaco,309.96,3.455553065749823
77,Germany,709.54,7.910224294335172
94,Indonesia,583.11,6.500734121078138
95,Iran,629.29,7.0155664884040085
99,Italy San Marino Vatican City,324.85,3.6215525016416
104,Kazakhstan,220.45,2.4576612251404977
120,Malaysia,239.62,2.671375744015269
127,Mexico,472.14,5.263597962521363
145,Pakistan,208.37,2.3229887479361553
152,Poland,312.74,3.4865455729210217
167,Saudi Arabia,514.6,5.736958341833976
177,South Africa,433.25,4.830037313640828
178,South Korea,630.87,7.033180934925769
179,Spain Andorra,258.34,2.8800734901465006
189,Thailand,257.86,2.8747222658867257
195,Turkey,412.97,4.603948088665327
200,United Arab Emirates,200.3,2.2330212900686854
201,United Kingdom,358.8,4.0000401341819485
207,Vietnam,257.86,2.8747222658867257
